Property_ID,Full_Address,Suburb,Postcode,Property_Type,Beds,Baths,Car_Spaces,Land_Size_sqm,Raw_Price,Numeric_Price,Latitude,Longitude,URL,Last_Updated
2020491310,"6 Paper Trail, ALPHINGTON VIC 3078",ALPHINGTON,3078,Townhouse,2,2,1,0.0,"$1,020,000",1020000.0,-37.785114,145.02591,https://www.domain.com.au/6-paper-trail-alphington-vic-3078-2020491310,2026-03-09
2020491311,"7 Warson Place, ALPHINGTON VIC 3078",ALPHINGTON,3078,Townhouse,3,3,2,0.0,"$1,340,000 - $1,380,000",1360000.0,-37.783894,145.02655,https://www.domain.com.au/7-warson-place-alphington-vic-3078-2020491311,2026-03-09
2020497485,"50 Rosehill Road, LOWER PLENTY VIC 3093",LOWER PLENTY,3093,House,4,2,3,12140.0,"ESR: $4,900,000 - $5,300,000",5100000.0,-37.73523,145.12473,https://www.domain.com.au/50-rosehill-road-lower-plenty-vic-3093-2020497485,2026-03-09
2020497503,"212 Old Eltham Road, LOWER PLENTY VIC 3093",LOWER PLENTY,3093,House,4,3,3,7049.0,"ESR: $2,990,000 - $3,280,000",3135000.0,-37.733788,145.12979,https://www.domain.com.au/212-old-eltham-road-lower-plenty-vic-3093-2020497503,2026-03-09
2020499492,"8 Prominence Court, PLENTY VIC 3090",PLENTY,3090,House,6,6,3,1000.0,"ESR: $2,900,000 - $3,150,000",3025000.0,-37.67115,145.11865,https://www.domain.com.au/8-prominence-court-plenty-vic-3090-2020499492,2026-03-09
2020508421,"52 Scotland Avenue, GREENSBOROUGH VIC 3088",GREENSBOROUGH,3088,House,3,1,3,1106.0,"Price guide $920,000 - $970,000",945000.0,-37.701538,145.10118,https://www.domain.com.au/52-scotland-avenue-greensborough-vic-3088-2020508421,2026-03-09
2020529067,"1/53 Orchard Crescent, MONT ALBERT NORTH VIC 3129",MONT ALBERT NORTH,3129,Townhouse,3,2,2,400.0,"$1,549,000",1549000.0,-37.796112,145.10666,https://www.domain.com.au/1-53-orchard-crescent-mont-albert-north-vic-3129-2020529067,2026-03-09
2020530335,"11 Sherwood Road, IVANHOE VIC 3079",IVANHOE,3079,House,4,3,6,940.0,"$2,700,000 - $2,900,000",2800000.0,-37.766617,145.04869,https://www.domain.com.au/11-sherwood-road-ivanhoe-vic-3079-2020530335,2026-03-09
2020532798,"32 Diamond Boulevard, GREENSBOROUGH VIC 3088",GREENSBOROUGH,3088,House,3,2,2,0.0,"Price Guide $720,000-$780,000",750000.0,-37.68598,145.11627,https://www.domain.com.au/32-diamond-boulevard-greensborough-vic-3088-2020532798,2026-03-09
2020532807,"20 Scotland Avenue, GREENSBOROUGH VIC 3088",GREENSBOROUGH,3088,House,3,2,2,0.0,"Price Guide $960,000 - 1,050,000",1005000.0,-37.7015,145.09851,https://www.domain.com.au/20-scotland-avenue-greensborough-vic-3088-2020532807,2026-03-09
2020533829,"1&3/17 Juniper Crescent, THOMASTOWN VIC 3074",THOMASTOWN,3074,House,3,3,2,0.0,Contact Agent,,-37.680984,145.00403,https://www.domain.com.au/1-3-17-juniper-crescent-thomastown-vic-3074-2020533829,2026-03-09
2020537252,"20 Melliodora Crescent, GREENSBOROUGH VIC 3088",GREENSBOROUGH,3088,House,4,3,4,0.0,"Price Guide $1,820,000-$2,000,000",1910000.0,-37.682083,145.1166,https://www.domain.com.au/20-melliodora-crescent-greensborough-vic-3088-2020537252,2026-03-09
2020036250,"7 Balmoral Avenue, TEMPLESTOWE LOWER VIC 3107",TEMPLESTOWE LOWER,3107,House,4,1,2,725.0,"$1,550,000 ~ $1,650,000",1600000.0,-37.77243,145.11098,https://www.domain.com.au/7-balmoral-avenue-templestowe-lower-vic-3107-2020036250,2026-03-09
2020064841,"16/790 Elgar Road, DONCASTER VIC 3108",DONCASTER,3108,Apartment / Unit / Flat,2,2,1,0.0,"$550,000~$600,000",575000.0,-37.790268,145.12306,https://www.domain.com.au/16-790-elgar-road-doncaster-vic-3108-2020064841,2026-03-09
2020189627,"G07/65 Stables Circuit, DONCASTER VIC 3108",DONCASTER,3108,Apartment / Unit / Flat,2,1,1,0.0,"$580,000 ~ $638,000",609000.0,-37.78706,145.11533,https://www.domain.com.au/g07-65-stables-circuit-doncaster-vic-3108-2020189627,2026-03-09
2020194289,"21 Pettys Lane, DONCASTER VIC 3108",DONCASTER,3108,House,4,3,2,362.0,"Auction Sat 28th Feb 2:30pm - $1,880,000-$1,950,000",,-37.789627,145.11287,https://www.domain.com.au/21-pettys-lane-doncaster-vic-3108-2020194289,2026-03-09
2020266173,"3 Citrus Court, DONCASTER VIC 3108",DONCASTER,3108,House,3,1,1,708.0,"$1,250,000 ~ $1,350,000",1300000.0,-37.79039,145.12361,https://www.domain.com.au/3-citrus-court-doncaster-vic-3108-2020266173,2026-03-09
2020374722,"66 Wilsons Road, DONCASTER VIC 3108",DONCASTER,3108,House,5,3,2,727.0,"$1,950,000 ~ $2,000,000",1975000.0,-37.791836,145.11423,https://www.domain.com.au/66-wilsons-road-doncaster-vic-3108-2020374722,2026-03-09
2020660061,"14B Balmoral Avenue, TEMPLESTOWE LOWER VIC 3107",TEMPLESTOWE LOWER,3107,House,4,3,2,0.0,"$1,450,000 - $1,550,000",1500000.0,-37.77218,145.11159,https://www.domain.com.au/14b-balmoral-avenue-templestowe-lower-vic-3107-2020660061,2026-03-09
2020660164,"22 Lilicur Road, MONTMORENCY VIC 3094",MONTMORENCY,3094,House,4,2,2,1577.0,"$1,700,000 - $1,850,000",1775000.0,-37.71225,145.1286,https://www.domain.com.au/22-lilicur-road-montmorency-vic-3094-2020660164,2026-03-09
2020660314,"5/209 Broadway, RESERVOIR VIC 3073",RESERVOIR,3073,House,2,1,2,0.0,"$650,000 - $715,000",682500.0,-37.717636,145.01338,https://www.domain.com.au/5-209-broadway-reservoir-vic-3073-2020660314,2026-03-09
2020661092,"5 Regina Street, ROSANNA VIC 3084",ROSANNA,3084,House,3,2,3,665.0,"Auction $1,250,000 - $1,330,000",,-37.732468,145.06494,https://www.domain.com.au/5-regina-street-rosanna-vic-3084-2020661092,2026-03-09
2020661265,"413 Upper Heidelberg Road, IVANHOE VIC 3079",IVANHOE,3079,House,3,1,2,1309.0,EXPRESSIONS OF INTEREST,,-37.757015,145.0542,https://www.domain.com.au/413-upper-heidelberg-road-ivanhoe-vic-3079-2020661265,2026-03-09
2020661292,"25 Ash Street, LALOR VIC 3075",LALOR,3075,Apartment / Unit / Flat,2,1,1,156.0,Contact Agent,,-37.674324,145.02689,https://www.domain.com.au/25-ash-street-lalor-vic-3075-2020661292,2026-03-09
2020661549,"57 Hosken Street, BALWYN NORTH VIC 3104",BALWYN NORTH,3104,House,5,3,4,1246.0,"$2,900,000 - $3,190,000",3045000.0,-37.79823,145.08919,https://www.domain.com.au/57-hosken-street-balwyn-north-vic-3104-2020661549,2026-03-09
2020661767,"20 Marshall Drive, RESERVOIR VIC 3073",RESERVOIR,3073,Townhouse,2,2,2,0.0,"EOI $640,000 - $699,500",669750.0,-37.699883,145.0267,https://www.domain.com.au/20-marshall-drive-reservoir-vic-3073-2020661767,2026-03-09
2020661955,"5/58 Miranda Road, RESERVOIR VIC 3073",RESERVOIR,3073,Apartment / Unit / Flat,2,1,1,0.0,"Private Sale $565,000",565000.0,-37.706974,145.0209,https://www.domain.com.au/5-58-miranda-road-reservoir-vic-3073-2020661955,2026-03-09
2020662023,"7/40 Ormond Boulevard, BUNDOORA VIC 3083",BUNDOORA,3083,Apartment / Unit / Flat,1,1,1,0.0,"EOI $300,000 - $330,000",315000.0,-37.6808,145.0741,https://www.domain.com.au/7-40-ormond-boulevard-bundoora-vic-3083-2020662023,2026-03-09
2020662149,"22 Foch Street, RESERVOIR VIC 3073",RESERVOIR,3073,House,4,2,4,741.0,"$1,730,000 - $1,870,000",1800000.0,-37.729027,145.01198,https://www.domain.com.au/22-foch-street-reservoir-vic-3073-2020662149,2026-03-09
2020662249,"27 Tuxen Street, BALWYN NORTH VIC 3104",BALWYN NORTH,3104,House,6,6,4,920.0,EOI Closing 30 March at 5pm,17.5,-37.796528,145.0876,https://www.domain.com.au/27-tuxen-street-balwyn-north-vic-3104-2020662249,2026-03-09
2020662373,"51 Cabernet Crescent, BUNDOORA VIC 3083",BUNDOORA,3083,House,4,2,2,562.0,"$750,000 - $810,000",780000.0,-37.688866,145.05441,https://www.domain.com.au/51-cabernet-crescent-bundoora-vic-3083-2020662373,2026-03-09
2020662694,"2/23 Lynne Street, LALOR VIC 3075",LALOR,3075,Townhouse,2,1,1,112.0,"$470,000 - $517,000",493500.0,-37.674656,145.03456,https://www.domain.com.au/2-23-lynne-street-lalor-vic-3075-2020662694,2026-03-09
2020498884,"7/518 Heidelberg Road, ALPHINGTON VIC 3078",ALPHINGTON,3078,Apartment / Unit / Flat,2,1,1,0.0,"$590,000 to $640,000 (If not sold prior)",615000.0,-37.782833,145.02115,https://www.domain.com.au/7-518-heidelberg-road-alphington-vic-3078-2020498884,2026-03-09
2020545896,"77 Sackville Street, MONTMORENCY VIC 3094",MONTMORENCY,3094,House,4,2,2,793.0,"$1,200,000",1200000.0,-37.728527,145.132,https://www.domain.com.au/77-sackville-street-montmorency-vic-3094-2020545896,2026-03-09
